#Saved Data from the class wavemeter_logger_logic on 22.11.2022 at 14h20m08s.
#
#Parameters:
#===========
#
#Start Time (s): 22.11.2022 14h:19min:45s
#Stop Time (s): 22.11.2022 14h:20min:08s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
1.138889193535e+01	1.500000000000e+02	7.370759452385e+02
1.140890645981e+01	1.000000000000e+02	7.370759403212e+02
1.142894268036e+01	2.500000000000e+02	7.370759403212e+02
1.144906210899e+01	0.000000000000e+00	7.370759361061e+02
1.146897816658e+01	1.500000000000e+02	7.370759299951e+02
1.148908162117e+01	5.000000000000e+01	7.370759233261e+02
1.150841760635e+01	1.000000000000e+02	7.370759174732e+02
1.152985262871e+01	5.000000000000e+01	7.370759114594e+02
1.154907393456e+01	1.500000000000e+02	7.370759109004e+02
1.156906580925e+01	1.000000000000e+02	7.370759109004e+02
1.158899283409e+01	1.000000000000e+02	7.370759068133e+02
1.160889053345e+01	5.000000000000e+01	7.370759003521e+02
1.162914514542e+01	3.000000000000e+02	7.370758920337e+02
1.164923191071e+01	5.000000000000e+01	7.370758920337e+02
1.166832304001e+01	1.000000000000e+02	7.370758920337e+02
1.168897509575e+01	1.500000000000e+02	7.370758851031e+02
1.170847582817e+01	1.000000000000e+02	7.370758781619e+02
1.172943186760e+01	1.000000000000e+02	7.370758733038e+02
1.174836850166e+01	2.500000000000e+02	7.370758733038e+02
1.176910877228e+01	3.000000000000e+02	7.370758680864e+02
1.178906536102e+01	1.000000000000e+02	7.370758611503e+02
1.180891156197e+01	2.000000000000e+02	7.370758567178e+02
1.182852959633e+01	1.500000000000e+02	7.370758540054e+02
1.184902453423e+01	3.000000000000e+02	7.370758540054e+02
1.186817693710e+01	3.000000000000e+02	7.370758477578e+02
1.188910293579e+01	2.000000000000e+02	7.370758410886e+02
1.190852546692e+01	1.500000000000e+02	7.370758353835e+02
1.192829895020e+01	5.000000000000e+01	7.370758298566e+02
1.194898581505e+01	2.000000000000e+02	7.370758256867e+02
1.196910357475e+01	1.500000000000e+02	7.370758256867e+02
1.198909950256e+01	1.500000000000e+02	7.370758205113e+02
1.200930309296e+01	3.000000000000e+02	7.370758142048e+02
1.202899074554e+01	3.000000000000e+02	7.370758095442e+02
1.204893112183e+01	3.500000000000e+02	7.370758071121e+02
1.206856727600e+01	2.000000000000e+02	7.370758064814e+02
1.208853387833e+01	2.000000000000e+02	7.370758001589e+02
1.210848021507e+01	2.500000000000e+02	7.370757942014e+02
1.212845444679e+01	2.000000000000e+02	7.370757887598e+02
1.214886832237e+01	2.500000000000e+02	7.370757887598e+02
1.216913461685e+01	1.500000000000e+02	7.370757850978e+02
1.218911337852e+01	3.000000000000e+02	7.370757788308e+02
1.220980167389e+01	3.000000000000e+02	7.370757719680e+02
1.222910332680e+01	3.000000000000e+02	7.370757691745e+02
1.224891209602e+01	5.000000000000e+02	7.370757691745e+02
1.226911234856e+01	3.000000000000e+02	7.370757630549e+02
1.228910398483e+01	2.000000000000e+02	7.370757567775e+02
1.230907535553e+01	2.500000000000e+02	7.370757502076e+02
1.232902193069e+01	2.500000000000e+02	7.370757442730e+02
1.234919214249e+01	2.000000000000e+02	7.370757400933e+02
1.236910343170e+01	5.500000000000e+02	7.370757400933e+02
1.238904047012e+01	2.500000000000e+02	7.370757349530e+02
1.240911912918e+01	4.500000000000e+02	7.370757285332e+02
1.242903542519e+01	4.000000000000e+02	7.370757223414e+02
1.244863247871e+01	2.000000000000e+02	7.370757205874e+02
1.246855568886e+01	3.000000000000e+02	7.370757196412e+02
1.248852586746e+01	5.500000000000e+02	7.370757132897e+02
1.250916790962e+01	2.500000000000e+02	7.370757072336e+02
1.252977013588e+01	2.000000000000e+02	7.370757015545e+02
1.254913496971e+01	4.500000000000e+02	7.370757009977e+02
1.256913256645e+01	4.000000000000e+02	7.370756981508e+02
1.258917403221e+01	9.500000000000e+02	7.370756925090e+02
1.260911655426e+01	6.500000000000e+02	7.370756867858e+02
1.262893891335e+01	6.000000000000e+02	7.370756810794e+02
1.264896821976e+01	5.500000000000e+02	7.370756762284e+02
1.266898322105e+01	5.500000000000e+02	7.370756715592e+02
1.268933439255e+01	3.500000000000e+02	7.370756715592e+02
1.270969700813e+01	9.000000000000e+02	7.370756677711e+02
1.272882533073e+01	6.500000000000e+02	7.370756616969e+02
1.274907088280e+01	7.000000000000e+02	7.370756550067e+02
1.276911282539e+01	7.500000000000e+02	7.370756517436e+02
1.278925418854e+01	9.000000000000e+02	7.370756485526e+02
1.280888223648e+01	9.000000000000e+02	7.370756424625e+02
1.282882857323e+01	8.500000000000e+02	7.370756369352e+02
1.284875488281e+01	1.050000000000e+03	7.370756322721e+02
1.286910700798e+01	9.500000000000e+02	7.370756322721e+02
1.288837623596e+01	7.500000000000e+02	7.370756291972e+02
1.290914130211e+01	1.150000000000e+03	7.370756225358e+02
1.292899608612e+01	1.050000000000e+03	7.370756175347e+02
