#Saved Data from the class wavemeter_logger_logic on 02.12.2022 at 16h59m28s.
#
#Parameters:
#===========
#
#Start Time (s): 02.12.2022 16h:58min:46s
#Stop Time (s): 02.12.2022 16h:59min:28s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
2.977804374695e+01	4.850000000000e+03	7.370379001887e+02
2.979796719551e+01	4.600000000000e+03	7.370378973470e+02
2.981791424751e+01	3.500000000000e+03	7.370378967779e+02
2.983786082268e+01	4.600000000000e+03	7.370378959344e+02
2.985780692101e+01	3.450000000000e+03	7.370378931098e+02
2.987775349617e+01	3.800000000000e+03	7.370378903730e+02
2.989770030975e+01	4.900000000000e+03	7.370378876142e+02
2.991767764091e+01	4.700000000000e+03	7.370378843886e+02
2.993793964386e+01	4.600000000000e+03	7.370378812581e+02
2.995735597610e+01	2.650000000000e+03	7.370378783659e+02
2.997745037079e+01	4.050000000000e+03	7.370378783659e+02
2.999739789963e+01	3.000000000000e+03	7.370378770947e+02
3.001735711098e+01	3.350000000000e+03	7.370378742682e+02
3.003729128838e+01	4.000000000000e+03	7.370378714136e+02
3.005753588676e+01	3.600000000000e+03	7.370378684778e+02
3.007770037651e+01	3.700000000000e+03	7.370378654725e+02
3.009766650200e+01	4.250000000000e+03	7.370378627763e+02
3.011771345139e+01	3.800000000000e+03	7.370378605308e+02
3.013765525818e+01	2.950000000000e+03	7.370378605308e+02
3.015760922432e+01	3.650000000000e+03	7.370378583017e+02
3.017755818367e+01	4.150000000000e+03	7.370378550213e+02
3.019747233391e+01	2.500000000000e+03	7.370378512053e+02
3.021744179726e+01	3.100000000000e+03	7.370378473787e+02
3.023736596107e+01	2.650000000000e+03	7.370378448114e+02
3.025734639168e+01	4.250000000000e+03	7.370378425485e+02
3.027736043930e+01	4.250000000000e+03	7.370378414152e+02
3.029733133316e+01	4.700000000000e+03	7.370378407465e+02
3.031737041473e+01	2.900000000000e+03	7.370378385065e+02
3.033732533455e+01	3.050000000000e+03	7.370378359559e+02
3.035726714134e+01	3.050000000000e+03	7.370378330158e+02
3.037719035149e+01	4.200000000000e+03	7.370378303266e+02
3.039713716507e+01	2.150000000000e+03	7.370378275717e+02
3.041808176041e+01	3.150000000000e+03	7.370378244717e+02
3.043805742264e+01	1.500000000000e+03	7.370378240289e+02
3.045800042152e+01	2.500000000000e+03	7.370378220857e+02
3.047794413567e+01	3.300000000000e+03	7.370378196564e+02
3.049791407585e+01	3.750000000000e+03	7.370378159640e+02
3.051784777641e+01	2.600000000000e+03	7.370378129677e+02
3.053778409958e+01	3.200000000000e+03	7.370378106408e+02
3.055775094032e+01	3.500000000000e+03	7.370378078834e+02
3.057765388489e+01	3.550000000000e+03	7.370378055723e+02
3.059762859344e+01	4.350000000000e+03	7.370378055723e+02
3.061757469177e+01	2.900000000000e+03	7.370378038308e+02
3.063751792908e+01	3.500000000000e+03	7.370378013481e+02
3.065749788284e+01	3.000000000000e+03	7.370377980376e+02
3.067777490616e+01	3.350000000000e+03	7.370377949395e+02
3.069768023491e+01	1.950000000000e+03	7.370377921519e+02
3.071904444695e+01	2.600000000000e+03	7.370377886288e+02
3.073803234100e+01	2.450000000000e+03	7.370377874356e+02
3.075744032860e+01	2.850000000000e+03	7.370377874356e+02
3.077795982361e+01	2.900000000000e+03	7.370377843486e+02
3.079803752899e+01	3.300000000000e+03	7.370377811162e+02
3.081802105904e+01	2.400000000000e+03	7.370377777312e+02
3.083714222908e+01	2.500000000000e+03	7.370377752240e+02
3.085808277130e+01	2.350000000000e+03	7.370377723197e+02
3.087805294991e+01	2.500000000000e+03	7.370377693485e+02
3.089797568321e+01	9.500000000000e+02	7.370377690498e+02
3.091792273521e+01	3.200000000000e+03	7.370377679801e+02
3.093786883354e+01	4.000000000000e+03	7.370377653060e+02
3.095781564713e+01	2.700000000000e+03	7.370377624311e+02
3.097776222229e+01	4.150000000000e+03	7.370377596168e+02
3.099770855904e+01	3.250000000000e+03	7.370377571000e+02
3.101765584946e+01	2.100000000000e+03	7.370377547552e+02
3.103760218620e+01	3.100000000000e+03	7.370377524842e+02
3.105754899979e+01	2.200000000000e+03	7.370377500835e+02
3.107749557495e+01	3.250000000000e+03	7.370377476129e+02
3.109744215012e+01	1.650000000000e+03	7.370377446745e+02
3.111738944054e+01	2.250000000000e+03	7.370377425812e+02
3.113733530045e+01	2.800000000000e+03	7.370377425812e+02
3.115730524063e+01	3.250000000000e+03	7.370377398699e+02
3.117725729942e+01	3.050000000000e+03	7.370377360019e+02
3.119717597961e+01	1.700000000000e+03	7.370377325507e+02
3.121714496613e+01	2.850000000000e+03	7.370377297075e+02
3.123808884621e+01	2.950000000000e+03	7.370377272135e+02
3.125801253319e+01	2.950000000000e+03	7.370377249863e+02
3.127798318863e+01	2.600000000000e+03	7.370377244278e+02
