#Saved Data from the class wavemeter_logger_logic on 09.11.2022 at 10h13m06s.
#
#Parameters:
#===========
#
#Start Time (s): 09.11.2022 10h:10min:09s
#Stop Time (s): 09.11.2022 10h:13min:06s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
2.817220735550e+01	2.500000000000e+02	7.369876085746e+02
2.819230818748e+01	2.000000000000e+02	7.369876180295e+02
2.821158933640e+01	5.000000000000e+01	7.369876273821e+02
2.823155617714e+01	3.000000000000e+02	7.369876283127e+02
2.825225830078e+01	2.000000000000e+02	7.369876374223e+02
2.827208232880e+01	1.500000000000e+02	7.369876463024e+02
2.829220485687e+01	2.500000000000e+02	7.369876554894e+02
2.831158041954e+01	2.500000000000e+02	7.369876692208e+02
2.833291935921e+01	1.000000000000e+02	7.369876853919e+02
2.835282683372e+01	2.000000000000e+02	7.369876949984e+02
2.837186121941e+01	2.000000000000e+02	7.369877010507e+02
2.839208841324e+01	2.500000000000e+02	7.369877019104e+02
2.841204452515e+01	2.500000000000e+02	7.369877096647e+02
2.843218874931e+01	5.000000000000e+01	7.369877177522e+02
2.845225691795e+01	3.500000000000e+02	7.369877267454e+02
2.847222161293e+01	2.500000000000e+02	7.369877363873e+02
2.849215865135e+01	2.500000000000e+02	7.369877463133e+02
2.851167082787e+01	0.000000000000e+00	7.369877555594e+02
2.853226876259e+01	1.500000000000e+02	7.369877656002e+02
2.855225157738e+01	4.000000000000e+02	7.369877754373e+02
2.857503032684e+01	1.500000000000e+02	7.369877843116e+02
2.859215974808e+01	2.000000000000e+02	7.369877921496e+02
2.861210513115e+01	1.500000000000e+02	7.369878057407e+02
2.863163375854e+01	2.000000000000e+02	7.369878142581e+02
2.865249609947e+01	5.000000000000e+01	7.369878241569e+02
2.867254185677e+01	1.500000000000e+02	7.369878346897e+02
2.869151544571e+01	2.500000000000e+02	7.369878429119e+02
2.871167421341e+01	5.000000000000e+01	7.369878519245e+02
2.873226261139e+01	2.500000000000e+02	7.369878618678e+02
2.875221061707e+01	2.000000000000e+02	7.369878716990e+02
2.877147436142e+01	5.000000000000e+01	7.369878812933e+02
2.879222106934e+01	3.500000000000e+02	7.369878917853e+02
2.881198215485e+01	1.500000000000e+02	7.369879013886e+02
2.883194303513e+01	3.500000000000e+02	7.369879109785e+02
2.885226416588e+01	2.500000000000e+02	7.369879206955e+02
2.887221217155e+01	1.500000000000e+02	7.369879303861e+02
2.889271402359e+01	2.500000000000e+02	7.369879403284e+02
2.891167068481e+01	2.500000000000e+02	7.369879492538e+02
2.893218374252e+01	2.500000000000e+02	7.369879589585e+02
2.895159888268e+01	2.000000000000e+02	7.369879681697e+02
2.897224307060e+01	1.500000000000e+02	7.369879777866e+02
2.899224948883e+01	1.000000000000e+02	7.369879820116e+02
2.901210498810e+01	5.000000000000e+01	7.369879820116e+02
2.903227448463e+01	2.500000000000e+02	7.369879910556e+02
2.905224967003e+01	1.500000000000e+02	7.369880034592e+02
2.907298803329e+01	2.000000000000e+02	7.369880200202e+02
2.909227252007e+01	2.500000000000e+02	7.369880313038e+02
2.911159992218e+01	4.000000000000e+02	7.369880407911e+02
2.913229084015e+01	4.000000000000e+02	7.369880513349e+02
2.915215611458e+01	1.500000000000e+02	7.369880552450e+02
2.917218708992e+01	2.500000000000e+02	7.369880580305e+02
2.919226956367e+01	1.000000000000e+02	7.369880677637e+02
2.921207547188e+01	4.000000000000e+02	7.369880770478e+02
2.923235964775e+01	3.000000000000e+02	7.369880864633e+02
2.925218582153e+01	4.000000000000e+02	7.369880961735e+02
2.927220916748e+01	3.000000000000e+02	7.369881051802e+02
2.929219913483e+01	3.000000000000e+02	7.369881134697e+02
2.931159996986e+01	2.500000000000e+02	7.369881229979e+02
2.933161139488e+01	3.500000000000e+02	7.369881330815e+02
2.935222673416e+01	2.000000000000e+02	7.369881430367e+02
2.937181711197e+01	4.500000000000e+02	7.369881522679e+02
2.939294409752e+01	1.000000000000e+02	7.369881621632e+02
2.941166830063e+01	4.000000000000e+02	7.369881711819e+02
2.943240451813e+01	3.000000000000e+02	7.369881819407e+02
2.945160651207e+01	1.500000000000e+02	7.369881925703e+02
2.947221279144e+01	3.500000000000e+02	7.369882008794e+02
2.949263000488e+01	1.500000000000e+02	7.369882095969e+02
2.951547694206e+01	3.000000000000e+02	7.369882210277e+02
2.953224968910e+01	2.000000000000e+02	7.369882314013e+02
2.955214595795e+01	3.500000000000e+02	7.369882422243e+02
2.957226347923e+01	1.500000000000e+02	7.369882513538e+02
2.959226655960e+01	3.000000000000e+02	7.369882599477e+02
2.961226177216e+01	5.000000000000e+01	7.369882687185e+02
2.963226366043e+01	3.000000000000e+02	7.369882783343e+02
2.965157580376e+01	3.000000000000e+02	7.369882881314e+02
2.967226028442e+01	2.000000000000e+02	7.369882987980e+02
2.969226384163e+01	4.000000000000e+02	7.369883086358e+02
2.971167778969e+01	3.500000000000e+02	7.369883168604e+02
2.973222613335e+01	4.500000000000e+02	7.369883248566e+02
2.975261902809e+01	2.000000000000e+02	7.369883370125e+02
2.977222561836e+01	3.500000000000e+02	7.369883464796e+02
2.979221415520e+01	1.000000000000e+02	7.369883532123e+02
2.981159377098e+01	3.000000000000e+02	7.369883627006e+02
2.983188462257e+01	4.000000000000e+02	7.369883771389e+02
2.985187458992e+01	4.500000000000e+02	7.369883873054e+02
2.987225723267e+01	4.500000000000e+02	7.369883972394e+02
2.989226293564e+01	1.500000000000e+02	7.369884061885e+02
2.991188573837e+01	2.500000000000e+02	7.369884134189e+02
2.993224668503e+01	5.000000000000e+02	7.369884213363e+02
2.995226001740e+01	3.000000000000e+02	7.369884310402e+02
2.997222614288e+01	4.000000000000e+02	7.369884410864e+02
2.999229001999e+01	2.500000000000e+02	7.369884513727e+02
3.001174449921e+01	3.000000000000e+02	7.369884612883e+02
3.003226137161e+01	4.000000000000e+02	7.369884718949e+02
3.005227231979e+01	4.500000000000e+02	7.369884811486e+02
3.007216119766e+01	6.000000000000e+02	7.369884811486e+02
3.009221410751e+01	2.500000000000e+02	7.369884963523e+02
3.011226153374e+01	6.500000000000e+02	7.369885126656e+02
3.013215804100e+01	2.500000000000e+02	7.369885215080e+02
3.015226221085e+01	2.500000000000e+02	7.369885305217e+02
3.017221546173e+01	2.500000000000e+02	7.369885395445e+02
3.019218540192e+01	3.000000000000e+02	7.369885404476e+02
3.021145081520e+01	4.000000000000e+02	7.369885491888e+02
3.023239517212e+01	3.000000000000e+02	7.369885651453e+02
3.025210762024e+01	9.000000000000e+02	7.369885774424e+02
3.027215003967e+01	5.000000000000e+02	7.369885882653e+02
3.029155468941e+01	6.000000000000e+02	7.369885983111e+02
3.031214880943e+01	3.000000000000e+02	7.369886011491e+02
3.033211207390e+01	2.000000000000e+02	7.369886032197e+02
3.035238933563e+01	5.000000000000e+02	7.369886133222e+02
3.037189435959e+01	3.000000000000e+02	7.369886230453e+02
3.039166426659e+01	5.000000000000e+02	7.369886329214e+02
3.041167402267e+01	6.500000000000e+02	7.369886430261e+02
3.043225312233e+01	3.000000000000e+02	7.369886531119e+02
3.045199203491e+01	1.000000000000e+02	7.369886625734e+02
3.047229504585e+01	4.000000000000e+02	7.369886718444e+02
3.049228620529e+01	5.000000000000e+02	7.369886813002e+02
3.051158380508e+01	8.500000000000e+02	7.369886906884e+02
3.053272247314e+01	4.500000000000e+02	7.369886998769e+02
3.055235981941e+01	5.500000000000e+02	7.369887086604e+02
3.057215023041e+01	3.000000000000e+02	7.369887182814e+02
3.059224915504e+01	6.500000000000e+02	7.369887290475e+02
3.061167073250e+01	5.000000000000e+02	7.369887393641e+02
3.063221430779e+01	4.000000000000e+02	7.369887489101e+02
3.065216588974e+01	5.500000000000e+02	7.369887594768e+02
3.067218279839e+01	5.500000000000e+02	7.369887699492e+02
3.069226622581e+01	6.000000000000e+02	7.369887786171e+02
3.071262907982e+01	5.000000000000e+02	7.369887886977e+02
3.073228144646e+01	7.000000000000e+02	7.369887988485e+02
3.075221061707e+01	1.000000000000e+03	7.369888051969e+02
3.077183318138e+01	4.000000000000e+02	7.369888114476e+02
3.079229021072e+01	5.000000000000e+02	7.369888237082e+02
3.081222081184e+01	4.000000000000e+02	7.369888370098e+02
3.083229327202e+01	4.500000000000e+02	7.369888495662e+02
3.085171484947e+01	5.500000000000e+02	7.369888603814e+02
3.087221479416e+01	5.000000000000e+02	7.369888686248e+02
3.089226698875e+01	9.000000000000e+02	7.369888783171e+02
3.091152977943e+01	9.500000000000e+02	7.369888883105e+02
3.093177604675e+01	6.500000000000e+02	7.369888883105e+02
3.095226335526e+01	6.000000000000e+02	7.369888933155e+02
3.097218275070e+01	5.500000000000e+02	7.369889065162e+02
3.099209547043e+01	6.500000000000e+02	7.369889218927e+02
3.101156711578e+01	7.500000000000e+02	7.369889327209e+02
3.103269243240e+01	4.000000000000e+02	7.369889331254e+02
3.105230975151e+01	6.000000000000e+02	7.369889410238e+02
